id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15772896.0,Pritchard,535.0,France,Male,44.0,8.0,108393.35,1.0,1.0,1.0,127528.84,0.0
1,15758063.0,Nkemakolam,549.0,France,Male,38.0,8.0,0.0,2.0,1.0,1.0,146891.07,0.0
2,15767231.0,Genovese,641.0,France,Male,34.0,5.0,0.0,2.0,0.0,1.0,171922.72,0.0
3,15762543.0,Nnachetam,692.0,Germany,Female,34.0,7.0,78892.23,1.0,1.0,1.0,121592.5,0.0
4,15747358.0,Chinwemma,681.0,France,Male,41.0,5.0,0.0,2.0,0.0,0.0,100791.36,0.0
5,15694946.0,Chiawuotu,607.0,Germany,Male,52.0,7.0,108891.1,1.0,1.0,0.0,82222.86,1.0
6,15600992.0,Shao,774.0,Spain,Female,48.0,1.0,119799.27,1.0,1.0,1.0,64872.33,0.0
7,15632859.0,Chukwuhaenye,473.0,Spain,Male,40.0,8.0,0.0,1.0,1.0,0.0,35600.25,0.0
8,15596972.0,O'Brien,594.0,France,Female,55.0,8.0,0.0,1.0,1.0,0.0,174311.3,1.0
9,15655252.0,Yobachi,831.0,France,Female,37.0,1.0,0.0,1.0,1.0,0.0,131662.47,0.0
10,15777784.0,Toscani,715.0,Spain,Female,29.0,8.0,0.0,2.0,1.0,1.0,185210.72,0.0
11,15576676.0,Maclean,590.0,France,Male,51.0,6.0,0.0,1.0,1.0,0.0,65618.01,1.0
12,15575694.0,Chia,739.0,France,Male,32.0,2.0,0.0,1.0,1.0,0.0,16081.62,0.0
13,15762762.0,Hsiao,677.0,France,Male,35.0,4.0,0.0,1.0,1.0,0.0,147964.99,0.0
14,15746737.0,Ch'iu,679.0,France,Male,33.0,0.0,0.0,2.0,1.0,0.0,45610.63,0.0
15,15701265.0,Iadanza,613.0,France,Female,46.0,5.0,0.0,2.0,1.0,1.0,89593.26,1.0
16,15662658.0,Kao,682.0,France,Male,26.0,8.0,0.0,1.0,1.0,1.0,156660.21,0.0
17,15759684.0,Bales,709.0,Spain,Male,30.0,7.0,0.0,2.0,1.0,0.0,178028.96,0.0
18,15641170.0,Chukwubuikem,730.0,France,Female,32.0,9.0,0.0,2.0,0.0,0.0,62390.59,0.0
19,15609521.0,Johnson,743.0,Spain,Female,37.0,4.0,0.0,2.0,0.0,0.0,71405.17,0.0
20,15700854.0,Chiu,633.0,France,Female,34.0,10.0,0.0,2.0,1.0,0.0,179797.79,0.0
21,15638257.0,Chiedozie,594.0,Germany,Male,35.0,7.0,111833.47,1.0,0.0,1.0,147521.35,0.0
22,15573077.0,Chiebuka,703.0,France,Male,28.0,1.0,0.0,2.0,1.0,0.0,153955.38,0.0
23,15756850.0,Hsueh,730.0,France,Female,45.0,9.0,0.0,1.0,1.0,0.0,131647.31,1.0
24,15753841.0,Nnachetam,643.0,Spain,Male,26.0,2.0,0.0,1.0,0.0,1.0,43982.41,1.0
25,15658449.0,Ijendu,652.0,France,Female,36.0,5.0,136659.74,1.0,1.0,1.0,10883.52,0.0
26,15674928.0,T'ien,716.0,France,Female,38.0,1.0,0.0,2.0,0.0,0.0,116826.52,0.0
27,15571065.0,Brown,645.0,Spain,Female,43.0,1.0,0.0,2.0,1.0,1.0,80619.17,0.0
28,15748473.0,Ch'ien,727.0,France,Male,28.0,3.0,0.0,2.0,0.0,0.0,159416.59,0.0
29,15714485.0,Ts'ui,632.0,Spain,Female,43.0,9.0,0.0,2.0,0.0,0.0,79329.7,0.0
30,15736397.0,Yudina,719.0,Germany,Male,33.0,1.0,122267.85,1.0,0.0,1.0,163331.65,0.0
31,15641733.0,Cremonesi,562.0,Germany,Female,30.0,5.0,167795.6,2.0,1.0,1.0,127939.17,0.0
32,15771742.0,T'an,673.0,France,Male,28.0,9.0,0.0,2.0,1.0,0.0,43921.36,0.0
33,15690546.0,Calabresi,658.0,France,Female,33.0,8.0,95854.31,1.0,1.0,0.0,126145.08,0.0
34,15701160.0,Yeh,554.0,France,Female,53.0,9.0,0.0,1.0,1.0,0.0,72993.67,1.0
35,15594862.0,Hsueh,704.0,France,Female,34.0,6.0,0.0,2.0,1.0,0.0,132029.95,0.0
36,15572706.0,T'ien,742.0,Germany,Female,47.0,9.0,104817.37,2.0,1.0,1.0,97939.4,0.0
37,15645323.0,Martin,531.0,Germany,Female,29.0,4.0,109848.6,1.0,0.0,0.0,91981.85,0.0
38,15797960.0,Nkemakonam,706.0,France,Female,41.0,8.0,129321.44,1.0,1.0,0.0,183566.78,0.0
39,15799652.0,Chikelu,565.0,France,Male,34.0,5.0,0.0,2.0,1.0,1.0,103318.45,0.0
40,15572736.0,Hsia,737.0,Germany,Male,47.0,2.0,132876.55,1.0,1.0,1.0,27330.59,0.0
